,titles,keys,cluster_num
3379,Maserati GranTurismo Prices & Deals - Texas,"['transmissions_available', 'seating', 'drive_wheels']",1
4236,Maserati GranTurismo Prices & Deals - Louisiana,"['transmissions_available', 'seating', 'drive_wheels']",1
3568,Maserati GranTurismo Prices & Deals - Iowa,"['transmissions_available', 'seating', 'drive_wheels']",1
697,Maserati GranTurismo Prices & Deals - Florida,"['transmissions_available', 'seating', 'drive_wheels']",1
1275,Maserati Levante Prices & Deals - Vermont,"['transmissions_available', 'drive_wheels', 'seating']",1
16350,"HP Inc. EliteDesk 800 G2 - Mini desktop - 1 x Core i7 6700T / 2.8 GHz - RAM 8 GB - HDD 500 GB - HD Graphics 530 - GigE - WLAN: 802.11a/b/g/n/ac, Bluetooth 4.1 - Win 10 Pro 64-bit - vPro - monitor: none - Smart Buy (Y2P15UT#ABA)","['graphics', 'storage_type', 'chipset', 'memory_slots', 'form_factor', 'keyboard']",2
14550,Khushali Presents Embroidered Cotton Unstitched Dress Material_yellow - (code -mdkz21007),['warranty'],2
14768,GGMM E5 - 100 Smart Bluetooth WiFi Portable Speaker,"['number_of_speakers', 'connection', 'bluetooth_version']",2
16946,ARGtek DJI Phantom 3 Standard version WiFi Signal Range Extender Antenna Kit 10dBi Omni Black,['unit_type'],2
14553,Samsung 845DC EVO MZ-7GE240EW 2.5in 240GB SATA III Internal MLC Solid State Drive (SSD).,"['form_factor', 'mtbf', 'interface']",2
14551,Scotch Magic Desktop Tape Dispenser (810k10c38pr),"['refillable', 'manufacturer', 'packaged_quantity', 'features']",2
16249,"LYSOL Brand RAC81143CT Dual Action Disinfecting Wipes, Citrus, 7 x 8, 35/Canister","['global_product_type', 'number_of_plies', 'packaging', 'scent']",2
18648,"Besa Lighting Pica 9 Bronze 8.One-Light LED Pendant with White Sand Glass, Dome Canopy","['bulbwatt', 'finish', 'voltage']",2
14546,Polka Dots Cap Sleeve Buttons Women's Day Dress,"['closure', 'sleeve_length', 'dress_length', 'silhouette']",2
14548,"External HDD Seagate Maxtor M3 Portable, 2.5"", 4 TB, USB3.0, STSHX-M401TCBM","['type', 'colour', 'form_factor', 'warranty', 'interface']",2
14769,"Pres-A-Ply Laser Address Labels, 1 x 2-5/8, White, 3000/Box",['color'],2
14554,Safco Scoot Single-Sided 3-Shelf Steel Book Cart Bookcase,"['number_of_shelves', 'assembly', 'adjustable_shelves']",2
16848,Tripp Lite® SAS Cable; 6'(L) (S524-02M),"['warranty', 'color']",2
14767,HP Flexible Thin Client t520 GX-212JC 1.2 GHz 4GB 16GB,"['monitor_type', 'storage_type', 'data_link_protocol', 'form_factor', 'power', 'interface', 'memory_specification_compliance', 'interface_type', 'energy_star_qualified', 'audio_output', 'type', 'networking', 'device_type', 'number_of_cores']",2
14547,PVC-Coated Extra-Large Multipurpose Gloves,"['certifications_and_listings', 'water_resistant', 'color_family', 'insulated', 'machine_washable', 'color']",2
18637,CARRIER 38QCT27/ 42QCP09 SPLIT AIR CONDITIONER FOR 220-240 VOLT /50 HZ,['name'],2
18644,"HP StorageWorks MSA2 AJ737A 450GB 15K RPM 3.5"" SAS 3GB/s HDD","['type', 'hard_drive_type', 'speed', 'form_factor', 'interface', 'spindle_speed']",2
18633,Iron/Tones Smart Divide Drop-In/Undermount Cast-Iron 33 in. Double Bowl Kitchen Sink in White,"['finish_type', 'sink_material', 'certifications_and_listings', 'number_of_faucet_holes', 'kitchen_product_type', 'sink_shape', 'minimum_cabinet_size_in', 'included', 'color_family', 'colorfinish', 'features']",2
18632,"6.0"" Huawei Mate 8 4GB 128GB Android 6.0 Octa Core 4G LTE Phone Fingerprint","['operating_system', 'contract', 'lock_status', 'camera_resolution', 'processor', 'color']",2
14562,Kenroy Home Intersect Oil Rubbed Bronze Four-Light Chandelier,"['finish', 'voltage']",2
18631,2014 Mazda Mazda3 i Touring Hatchback,"['bumpers', 'recommended_fuel', 'engine_displacement', 'front_legroom', 'turning_radius', 'max_seating_capacity', 'interior_color', 'cylinder_configuration', 'engine_location', 'wheelbase', 'door_mirrors', 'rear_hiproom', 'seats_and_trim', 'drive_type', 'fuel_tank_capacity', 'exterior_body_width', 'number_of_valves', 'transmission', 'rear_seats']",2
